xmlgraphics-fop	1942336d7	java.util.Iterator__next__0_18	dummy_path	complexscripts/bidi/GenerateBidiTestData.java	removeSurrogates(List)	java.util.Iterator
jfreechart	893f9b15	java.util.Map__get__1_0	dummy_path	jfree/data/KeyToGroupMap.java	getGroup(Comparable)	java.util.Map
commons-text	7d2b511	java.util.Iterator__next__0_1	dummy_path	commons/text/StrTokenizerTest.java	testTokenizeSubclassInputChange()	java.util.Iterator
jfreechart	893f9b15	org.jfree.chart.plot.PlotRenderingInfo__getOwner__0_0	dummy_path	chart/plot/CombinedDomainXYPlot.java	draw(Graphics2D,Rectangle2D,Point2D,PlotState,PlotRenderingInfo)	org.jfree.chart.plot.PlotRenderingInfo
santuario-java	3832bd83	java.util.Iterator__next__0_2	dummy_path	processor/output/AbstractSignatureOutputProcessor.java	verifySignatureParts(OutputProcessorChain)	java.util.Iterator
jackrabbit	da3fd4199	java.util.Map__get__1_1	dummy_path	standalone/cli/CommandHelper.java	hasNode(Context,String)	java.util.Map
xmlgraphics-fop	1942336d7	java.util.Iterator__next__0_3	dummy_path	fonts/type1/PostscriptParser.java	PSDictionary()	java.util.Iterator
h2database	0ea0365c2	java.util.Iterator__next__0_4	dummy_path	dev/cluster/ShardedMap.java	CombinedSet()	java.util.Iterator
h2database	0ea0365c2	java.util.Iterator__next__0_5	dummy_path	h2/java/Expr.java	asString()	java.util.Iterator
jackrabbit	da3fd4199	java.util.Iterator__next__0_6	dummy_path	core/nodetype/EffectiveNodeTypeCacheImpl.java	remove(Key)	java.util.Iterator
xmlgraphics-fop	1942336d7	java.util.Map__get__1_2	dummy_path	fop/pdf/PDFFactory.java	makeFont(String,String,String,FontMetrics,FontDescriptor)	java.util.Map
jackrabbit	da3fd4199	java.util.Map__get__1_3	dummy_path	jackrabbit/jca/JCARepositoryManager.java	createRepository(Map)	java.util.Map
h2database	0ea0365c2	java.util.List__get__1_0	dummy_path	test/unit/TestValueHashMap.java	testRandomized()	java.util.List
jackrabbit	da3fd4199	java.util.Iterator__next__0_7	dummy_path	standalone/cli/CommandLineFactory.java	getCommandLines()	java.util.Iterator
jackrabbit	da3fd4199	java.util.Iterator__next__0_8	dummy_path	security/user/UserManagerSearchTest.java	toSet(Iterator)	java.util.Iterator
itextpdf	2d5b6a212	java.util.Map__get__1_4	dummy_path	text/pdf/PdfCopy.java	findActivesFromReference(PdfIndirectReference,ArrayList,HashSet)	java.util.Map
itextpdf	2d5b6a212	com.itextpdf.text.pdf.PdfArray__getPdfObject__1_0	dummy_path	text/pdf/PdfReader.java	PdfReader(RandomAccessFileOrArray,byte)	com.itextpdf.text.pdf.PdfArray
h2database	0ea0365c2	java.sql.ResultSet__next__0_0	dummy_path	test/db/TestFunctions.java	testPrecision()	java.sql.ResultSet
xmlgraphics-fop	1942336d7	java.util.List__get__1_1	dummy_path	fop/layoutmgr/SpaceSpecifier.java	resolve(boolean)	java.util.List
itextpdf	2d5b6a212	java.util.List__get__1_2	dummy_path	text/pdf/AcroFields.java	getNewPushbuttonFromField(String,int)	java.util.List
jackrabbit	da3fd4199	java.util.Map__get__1_5	dummy_path	jackrabbit/core/RepositoryFactoryImpl.java	getOrCreateRepository(String,Map)	java.util.Map
itextpdf	2d5b6a212	java.util.List__get__1_3	dummy_path	text/pdf/PdfContentByte.java	saveMCBlocks()	java.util.List
xmlgraphics-fop	1942336d7	java.util.Iterator__next__0_9	dummy_path	render/mif/MIFFile.java	output(OutputStream)	java.util.Iterator
